Fund_name,Year,ms,lag_mr,performance,lag_perf,FUM,over_50,female,Average.fees,Fund_type,Cost.ratio
Bluescope Steel Superannuation Fund,2004,0.109545701032117,NA,1.23081861958266,NA,1149642,NA,NA,NA,Corporate,0.259359019475134
BNP Paribas Australian Superannuation Plan,2004,0.00617836340277556,NA,-0.169181380417337,NA,36676,NA,NA,NA,Corporate,1.083180363184
Boc Gases Superannuation Fund,2004,0.0289364150599012,NA,5.53081861958266,NA,401366,NA,NA,NA,Corporate,0.474170881065538
Boeing Australia Superannuation Plan,2004,0.0216016944775149,NA,1.23081861958266,NA,38300,NA,NA,NA,Corporate,0.791289383534104
Bonland Dairies Employees Superannuation Fund,2004,0.000818677324104674,NA,1.23081861958266,NA,5397,NA,NA,NA,Corporate,2.18674830527006
Bookmakers Superannuation Fund,2004,0.0268239527080148,NA,1.83081861958266,NA,54883,NA,NA,NA,Industry,1.08989558633887
BP Superannuation Fund,2004,0.0914444901730156,NA,3.23081861958266,NA,405733,NA,NA,NA,Corporate,0.370186268553569
Brisbane City Council Superannuation Plan,2004,0.108405049892297,NA,2.93081861958266,NA,792992,NA,NA,NA,Public Sector,0.725176283255805
Bristol-Myers Squibb Superannuation Plan,2004,0.00486887233520286,NA,3.63081861958266,NA,37671,NA,NA,NA,Corporate,0.997445933896538
British American Tobacco Australia Superannuation Fund,2004,0.00950804383846267,NA,1.63081861958266,NA,116121,NA,NA,NA,Corporate,0.433502486127455
Broadcast Amalgamated Limited Employees Retiring Fund,2004,0.000632168101586822,NA,-0.369181380417336,NA,22641,NA,NA,NA,Corporate,1.90800354754428
Brownbuilt Superannuation Fund,2004,0.00103070886128286,NA,-2.86918138041734,NA,9777,NA,NA,NA,Corporate,0.521710776588229
BT Lifetime Super,2004,0.03251542887727,NA,0.130818619582664,NA,2470405,30.9760532779142,40.1875118080484,NA,Retail,1.52124931121132
BT Lifetime Super - Employer Plan,2004,0.564692991389812,NA,0.130818619582664,NA,1600044,15.462310101693,38.9772742952548,NA,Retail,0.367373943727366
BTMA Superannuation Plan,2004,0.00050063001833739,NA,-0.669181380417337,NA,4797,NA,NA,NA,Corporate,0.782122905027933
Building Products Superannuation Fund,2004,0.0185292004434051,NA,2.83081861958266,NA,66527,NA,NA,NA,Corporate,0.984167375862621
Building Unions Superannuation Scheme (Queensland),2004,0.241015070357463,NA,2.63081861958266,NA,618921,NA,NA,NA,Industry,0.74285730717581
Caltex Australia Superannuation Plan,2004,0.0225499466298952,NA,4.93081861958266,NA,305129,NA,NA,NA,Corporate,0.177160433445281
Campbell Arnott's Superannuation Plan,2004,0.0586620586192989,NA,-1.76918138041734,NA,158642,NA,NA,NA,Corporate,0.36267180390912
Canegrowers Retirement Fund,2004,0.00350048361841399,NA,-2.06918138041734,NA,45877,NA,NA,NA,Industry,1.29641082022034
Capricorn Coal Staff Superannuation Fund,2004,3.92650994774424e-06,NA,0.630818619582664,NA,4493,NA,NA,NA,Corporate,2.34983498349835
Care Super,2004,0.517115470352995,NA,0.330818619582663,NA,1704622,14.6681800618238,64.4638717156105,NA,Industry,0.868960943508188
Caring For Your Future Superannuation Fund,2004,0.00129182177280785,NA,0.230818619582664,NA,8296,NA,NA,NA,Retail,1.61211868528942
Carter Holt Harvey Australia Superannuation Plan,2004,0.0252356794341522,NA,2.83081861958266,NA,121721,NA,NA,NA,Corporate,0.786855549737479
Catholic Schools Superannuation Fund (WA),2004,0.0818343570759116,NA,1.73081861958266,NA,288333,24.6214194490057,76.0810071154899,NA,Corporate,0.944958171704458
